10000,0.000000
20000,0.001000
30000,0.001000
40000,0.001000
50000,0.001000
60000,0.001000
70000,0.002000
80000,0.002000
90000,0.003000
100000,0.003000
110000,0.003000
120000,0.002000
130000,0.003000
140000,0.002000
150000,0.002000
160000,0.003000
170000,0.002000
180000,0.003000
190000,0.003000
200000,0.003000
210000,0.004000
220000,0.004000
230000,0.003000
240000,0.008000
250000,0.004000
260000,0.004000
270000,0.004000
280000,0.006000
290000,0.006000
300000,0.007000
310000,0.005000
320000,0.007000
330000,0.005000
340000,0.006000
350000,0.012000
360000,0.007000
370000,0.005000
380000,0.007000
390000,0.006000
400000,0.009000
410000,0.007000
420000,0.012000
430000,0.007000
440000,0.007000
450000,0.009000
460000,0.009000
470000,0.011000
480000,0.009000
490000,0.009000
500000,0.009000
510000,0.009000
520000,0.010000
530000,0.009000
540000,0.015000
550000,0.013000
560000,0.010000
570000,0.010000
580000,0.011000
590000,0.010000
600000,0.011000
610000,0.014000
620000,0.012000
630000,0.017000
640000,0.016000
650000,0.016000
660000,0.015000
670000,0.013000
680000,0.012000
690000,0.012000
700000,0.017000
710000,0.015000
720000,0.013000
730000,0.024000
740000,0.021000
750000,0.020000
760000,0.017000
770000,0.022000
780000,0.017000
790000,0.015000
800000,0.019000
810000,0.017000
820000,0.017000
830000,0.017000
840000,0.018000
850000,0.018000
860000,0.022000
870000,0.021000
880000,0.016000
890000,0.020000
900000,0.016000
910000,0.017000
920000,0.023000
930000,0.018000
940000,0.030000
950000,0.020000
960000,0.020000
970000,0.022000
980000,0.028000
990000,0.017000
1000000,0.021000
